filename,Annotation,begin_time_s,label
t-11031961_327_9sec_1_a.wav,,0,0
t-11031961_8_9sec_1_a.wav,,3,0
t-11031961_81_9sec_1_a.wav,,6,0
t-11031961_212_9sec_1_c.wav,COYOTE,9,1
t-11031961_159_9sec_1_b.wav,COYOTE,12,1
t-11031961_175_9sec_1_a.wav,COYOTE,15,1
t-11031961_145_9sec_2_c.wav,COYOTE,18,1
t-11031961_378_9sec_1_a.wav,,21,0
t-11031961_198_9sec_1_c.wav,COYOTE,24,1
t-11031961_136_9sec_2_b.wav,COYOTE,27,1
t-11031961_168_9sec_1_b.wav,COYOTE,30,1
t-11031961_172_9sec_2_a.wav,COYOTE,33,1
t-11031961_286_9sec_1_a.wav,,36,0
t-11031961_217_9sec_1_a.wav,COYOTE,39,1
t-11031961_259_9sec_1_a.wav,,42,0
t-11031961_205_9sec_1_a.wav,COYOTE,45,1
t-11031961_237_9sec_1_a.wav,,48,0
t-11031961_357_9sec_1_a.wav,,51,0
t-11031961_217_9sec_1_d.wav,COYOTE,54,1
t-11031961_156_9sec_1_a.wav,COYOTE,57,1
t-11031961_299_9sec_1_a.wav,,60,0
t-11031961_99_9sec_1_a.wav,,63,0
t-11031961_134_9sec_1_a.wav,COYOTE,66,1
t-11031961_309_9sec_3_a.wav,COYOTE,69,1
t-11031961_105_9sec_1_a.wav,,72,0
t-11031961_204_9sec_1_b.wav,COYOTE,75,1
t-11031961_135_9sec_1_a.wav,COYOTE,78,1
t-11031961_86_9sec_1_a.wav,,81,0
t-11031961_310_9sec_2_b.wav,COYOTE,84,1
t-11031961_392_9sec_1_a.wav,,87,0
t-11031961_7_9sec_1_a.wav,COYOTE,90,1
t-11031961_210_9sec_1_b.wav,COYOTE,93,1
t-11031961_298_9sec_1_a.wav,,96,0
t-11031961_171_9sec_1_a.wav,COYOTE,99,1
t-11031961_250_9sec_1_a.wav,,102,0
t-11031961_183_9sec_1_a.wav,COYOTE,105,1
t-11031961_236_9sec_1_a.wav,,108,0
t-11031961_398_9sec_1_a.wav,,111,0
t-11031961_125_9sec_1_c.wav,COYOTE,114,1
t-11031961_217_9sec_1_c.wav,COYOTE,117,1
t-11031961_197_9sec_1_c.wav,COYOTE,120,1
t-11031961_313_9sec_2_a.wav,COYOTE,123,1
t-11031961_145_9sec_2_b.wav,COYOTE,126,1
t-11031961_350_9sec_1_a.wav,,129,0
t-11031961_206_9sec_1_a.wav,COYOTE,132,1
t-11031961_152_9sec_1_a.wav,COYOTE,135,1
t-11031961_29_9sec_1_a.wav,,138,0
t-11031961_126_9sec_2_b.wav,COYOTE,141,1
t-11031961_342_9sec_1_a.wav,,144,0
t-11031961_160_9sec_1_b.wav,COYOTE,147,1
t-11031961_199_9sec_2_a.wav,COYOTE,150,1
t-11031961_178_9sec_2_a.wav,COYOTE,153,1
t-11031961_185_9sec_3_a.wav,COYOTE,156,1
t-11031961_175_9sec_1_b.wav,COYOTE,159,1
t-11031961_191_9sec_2_a.wav,COYOTE,162,1
t-11031961_83_9sec_1_a.wav,,165,0
t-11031961_210_9sec_1_c.wav,COYOTE,168,1
t-11031961_289_9sec_1_a.wav,,171,0
t-11031961_176_9sec_1_a.wav,COYOTE,174,1
t-11031961_98_9sec_1_a.wav,,177,0
t-11031961_281_9sec_1_a.wav,,180,0
t-11031961_120_9sec_1_a.wav,,183,0
t-11031961_6_9sec_1_a.wav,,186,0
t-11031961_132_9sec_1_a.wav,COYOTE,189,1
t-11031961_173_9sec_1_a.wav,,192,0
t-11031961_361_9sec_1_a.wav,,195,0
t-11031961_163_9sec_1_b.wav,COYOTE,198,1
t-11031961_384_9sec_1_a.wav,,201,0
t-11031961_224_9sec_1_a.wav,,204,0
t-11031961_370_9sec_1_a.wav,,207,0
t-11031961_254_9sec_1_a.wav,,210,0
t-11031961_177_9sec_1_c.wav,COYOTE,213,1
t-11031961_282_9sec_1_a.wav,,216,0
t-11031961_165_9sec_1_a.wav,COYOTE,219,1
t-11031961_150_9sec_1_a.wav,,222,0
t-11031961_380_9sec_1_a.wav,,225,0
t-11031961_264_9sec_1_a.wav,,228,0
t-11031961_185_9sec_2_a.wav,COYOTE,231,1
t-11031961_85_9sec_1_a.wav,,234,0
t-11031961_21_9sec_1_a.wav,,237,0
t-11031961_233_9sec_1_a.wav,,240,0
t-11031961_222_9sec_1_a.wav,,243,0
t-11031961_154_9sec_2_a.wav,COYOTE,246,1
t-11031961_134_9sec_2_b.wav,COYOTE,249,1
t-11031961_174_9sec_2_a.wav,COYOTE,252,1
t-11031961_326_9sec_1_a.wav,,255,0
t-11031961_320_9sec_2_a.wav,COYOTE,258,1
t-11031961_159_9sec_2_b.wav,COYOTE,261,1
t-11031961_143_9sec_1_a.wav,COYOTE,264,1
t-11031961_391_9sec_1_a.wav,,267,0
t-11031961_93_9sec_1_a.wav,,270,0
t-11031961_80_9sec_1_a.wav,,273,0
t-11031961_23_9sec_1_a.wav,,276,0
t-11031961_72_9sec_1_a.wav,,279,0
t-11031961_216_9sec_1_a.wav,COYOTE,282,1
t-11031961_257_9sec_1_a.wav,,285,0
t-11031961_58_9sec_1_a.wav,,288,0
t-11031961_192_9sec_2_d.wav,COYOTE,291,1
t-11031961_129_9sec_1_a.wav,,294,0
t-11031961_109_9sec_1_a.wav,,297,0
